CodCategoria;Categoria;Descricao;NomeDeGrupo
DIR101;Campanha ou Programa de Produto ou Serviço Business-to-Business;Conjunto de peças de marketing direto voltadas para o clientes empresarial.;Falso;
DIR102;Campanha ou Programa de Venda de Produto;Conjunto de peças de marketing direto direcionada a venda de produtos de qualquer natureza.;Falso;
DIR103;Campanha ou Programa de Venda de Serviço;Conjunto de peças de marketing direto direcionada a venda de produtos de qualquer natureza.;Falso;
DIR104;Campanha ou Programa de Fidelização;Iniciativas que visem desenvolver fidelização e relacionamento com o cliente exclusivamente através de ações e peças de marketing direto..;Falso;
DIR105;Campanha ou Programa Social ou Comunitário;Conjunto de ações e peças de marketing direto direcionada a iniciativas sem fins lucrativos, educacionais ou de caridade.;Falso;
DIR106;Programa de Database Marketing;Conjunto de estratégias e ações baseados no gerenciamento de informações sobre o público alvo do cliente.;Falso;
DIR200;Peças de Marketing Direto;Materiais que poderão ser analisados pela sua adequação ao meio e sua técnica, como direção de arte, redação, produção etc.;Verdadeiro;
DIR201;Peça de Mídia Eletrônica;Peça de marketing direto (que permita uma resposta mensurável ou personalizada) produzida para rádio ou tv.;Falso;
DIR202;Peça de Mídia Impressa;Peça de marketing direto (que permita uma resposta mensurável ou personalizada) produzida para jornal ou revista.;Falso;
DIR203;Peça de Mídia Digital;Peça de marketing direto (que permita uma resposta mensurável ou personalizada) produzida para internet, tablet ou smartphone.;Falso;
DIR204;Peça de Distribuição Domiciliar;Peça de marketing direto (que permita uma resposta mensurável ou personalizada) produzida para entrega porta-a-porta.;Falso;
DIR205;Peça Tridimensional;Peça de marketing direto, no formato de objeto ou similar, com o objetivo de obter uma resposta mensurável ou personalizada.;Falso;
DIR206;Peça Interativa;Peça de marketing direto que estimule a interatividade do público-alvo, produzida como CD-ROM, e-mail, website etc.;Falso;
DIR207;Uso Criativo de Base de Dados;Solução inovadora desenvolvida a partir da análse da base de dados de clientes mantida pela empresa ou instituição..;Falso;
EXT000;Mídia Exterior;Peças exibidas fora de casa (Out-Of-Home ou OOH), englobando áreas externas e internas de lugares onde haja livre circulação de pessoas, podendo ser estáticas, móveis ou digitais.;Verdadeiro;
EXT100;Mercado;Categorias em que também se levará em conta a adequação ao tipo de produto ou serviço anunciado.;Verdadeiro;
EXT101;Alimentos;Achocolatados, Balas, Biscoitos, Bombons, Caldos e Sopas, Carnes, Cereais, Chocolates, Condimentos, Confeitos, Enlatados, Frios, Frutas, Iogurtes Cremosos ou Líquidos, Guloseimas, Leite e Derivados, Manteigas, Margarinas e Assemelhados, Massas, Misturas ou Produtos Pré e Semipreparados, Molhos, Pães e Bolos, Rações para Animais Domésticos, Salgados, Sobremesas, Sorvetes;Falso;
EXT102;Bebidas Alcoólicas;Aguardentes, Aperitivos, Cervejas, Chopp, Destilados, Licores, Vinhos.;Falso;
EXT103;Bebidas Não-Alcoólicas;Águas Minerais, Café, Chá, Coolers, Energéticos, Isotônicos, Mate, Refrescos em Pó, Refrigerantes, Sucos Naturais e Artificiais.;Falso;
EXT104;Cigarros e Tabaco;Cachimbos, Charutos, Cigarrilhas, Cigarros, Fumo em Geral, Papel para Enrolar Fumo.;Falso;
EXT105;Cosméticos e Produtos De Toalete;Absorventes, Antiperspirantes e Desodorantes, Aparelhos e Lâminas de Barbear, Bronzeadores ou Protetores Solares, Cotonetes, Cremes e Fios Dentais, Escovas e Pentes em Geral, Fraldas, Papéis Sanitários, Sabonetes e outros Produtos para o Banho, Perfumes e Essências, Produtos de Maquiagem em Geral, Tinturas.;Falso;
EXT106;Cultura e Educação;Colégios, Cursos em Geral, Exposições, Fascículos, Festivais, Filmes, Filmes em Vídeo, Gravações Musicais em Disco, Cassete ou CD, Livros, Operas, Peças Teatrais, Shows Musicais, Universidades.;Falso;
