CodCategoria;Categoria;Descricao;NomeDeGrupo
INT114;Produtos e Serviços Para Agropecuária;Adubos, Defensivos, Implementos, Inseticidas, Máquinas, Produtos Veterinários, Rações Animais, Sementes e Tratores.;Falso;
INT115;Produtos e Serviços Automotivos;Aditivos, Acessórios e Peças, Carrocerias, Combustíveis, Lubrificantes, Oficinas Mecânicas e de Lanternagem, Pneus, Postos de Serviços, Recauchutagem, Sistemas de Segurança.;Falso;
INT116;Produtos e Serviços Para Comércio e Escritório;Arquivos, Computadores, Copiadoras, Empresas Gráficas, Empresas de Limpeza, Empresas de Vale-Refeição e Assemelhados, Fax, Impressoras, Listas Telefônicas, Máquinas de Escrever, Máquinas de Calcular, Material de Escrita, Desenho e Papelaria, Móveis Profissionais, Serviços de Entrega, Serviços e Equipamentos de Manutenção e Segurança, Software e Suprimentos de Informática.;Falso;
INT117;Produtos e Serviços Comunitários;Defesa da Ecologia, Campanhas Educativas de Qualquer Natureza (Trânsito, Eleição, Antidrogas etc), Entidades Filantrópicas e Beneméritas, Igrejas e Cultos, Serviços Assistenciais Públicos e Privados.;Falso;
INT118;Produtos e Serviços Para A Indústria;Bens, Consultorias, Instalações, Insumos, Maquinarias, Pesquisas de Mercado, Serviços de Carga.;Falso;
INT119;Produtos e Serviços De Lazer e Recreação;Aparelhagens de Áudio e de Vídeo, Aparelhagens de Ginástica ou Esportivas, Baralhos, Bicicletas, Binóculos e Lunetas, Brinquedos em Geral, Equipamento e Material Fotográfico, Fliperamas, Instrumentos Musicais, Jet-Skys, Jogos em Geral, Lanchas, Locadoras de Vídeo e Videogames, Loterias, Computadores e Tablets Pessoais, Modelismo, Projetores, Serviços de Revelação Fotográfica, Trailers, Videocâmeras, Videogravadores, Videogames e Cartuchos.;Falso;
INT120;Produtos e Serviços De Limpeza e Manutenção Do Lar;Adesivos, Abrasivos, Amaciantes de Roupas, Assistências Técnicas e Serviços de Consertos, Ceras, Detergentes Líquidos e em Pó, Esponjas de Limpeza e Assemelhados, Equipamentos de Jardinagem, Equipamentos para Piscinas, Furadeiras, Gás Engarrafado, Inseticidas e Repelentes, Limpadores Concentrados e Multiuso, Lixeiras e Sacos para Lixo, Papéis Laminados, Papéis-Toalha, Pilhas, Sabões em Barra e Assemelhados, Solventes, Tintas, Vassouras, Velas.;Falso;
INT121;Produtos e Serviços Médicos, Farmacêuticos e De Saúde;Academias de Ginástica, Ambulâncias e Serviços de Remoção, Adoçantes Artificiais, Analgésicos, Clínicas e Hospitais, Compostos Vitamínicos, Institutos de Beleza, Lentes de Contato e para Óculos, Medicamentos em Geral, Produtos Dietéticos ou Emagrecedores, Produtos para Curativos e Enfermagem (Esparadrapos etc.), Produtos Éticos, Spas, Tratamentos Capilares, Veterinárias.;Falso;
INT122;Produtos e Serviços Públicos;Água e Esgotos, Cemitérios, Comunicações de Governo e Órgãos Públicos em Geral, Correios, Gás Encanado, Impostos, Luz, Obras Públicas, Paramédicos, Saúde Pública, Transportes Públicos, Segurança Pública.;Falso;
INT123;Produtos e Serviços de Telecomunicações;Serviços de Telefonia Pública ou Privada, Local ou Interurbano, Sistemas e Equipamentos de Telefonia (inclusive Telefone Celular, ISDN, ADSL etc.) e Serviços de Atendimento Telefônico, Provedores de Acesso à Internet, Televisão a Cabo, Televisão por Satélite, Televisão por Assinatura.;Falso;
INT124;Serviços Financeiros e De Seguros;Bancos, Bolsas de Valores, Câmbio e Cheques de Viagens, Capitalização, Cartões de Crédito, Consórcios, Corretoras e Distribuidoras de Valores, Empresas de Crédito e Poupança, Financeiras, Fundos e Investimentos, Seguros em Geral, Seguros de Saúde.;Falso;
INT125;Turismo, Transportes e Diversões Públicas;Agências de Viagens, Campings, Casas Noturnas, Cassinos, Complexos e Destinos Turísticos, Empresas Aéreas e de Navegação, Feiras, Hotéis e Assemelhados, Jardins Botânicos, Jardins Zoológicos e Assemelhados, Parques Aquáticos, Parques de Diversões, Planetários, Serviços de Locação de Automóveis, Transportes Urbanos e Rodoviários.;Falso;
INT126;Varejo De Grande Porte;Lojas de Departamento, Redes de Mais de 15 lojas de Qualquer Setor, Shopping Centers, Supermercados e sites de e-comércio de empresas que se enquadrem nesta categoria.;Falso;
INT127;Varejo De Pequeno e Médio Porte;Armarinhos, Bares, Bazares, Butiques, Delicatessen, Farmácias e Drogarias, Lanchonetes e Fast food, Lojas de Conveniência, Óticas, Padarias e Confeitarias, Redes de Até 15 lojas de Qualquer Setor, Revendas e Concessionárias de Veículos, Restaurantes, Outras Lojas Especializadas, Sites de Leilões e sites de e-comercio de empresas que se enquadrem nesta categoria.;Falso;
INT128;Veículos Pessoais e Profissionais;Automóveis de Passeio, Aviões, Caminhões, Furgões, Motos, Navios, Ônibus, Utilitários. Atenção: exclusivamente comunicação de marca.;Falso;
INT129;Vestuário e Acessórios Pessoais;Adereços, Aviamentos, Armações de Óculos, Artigos de Couro, Bolsas e Malas, Calçados e Assemelhados, Jóias, Lãs e Linhas, Lingerie e Roupas Intimas, Relógios e Canetas Especiais, Roupas e Materiais Esportivos, Roupas Infantis, Femininas e Masculinas, Tecidos.;Falso;
INT130;Websites, Portais e Serviços Online;Trabalhos voltados para a divulgação de sites na Internet. Atenção que a categoria não é para inscrição de Websites, mas de peças e campanhas que promovam websites, portais e serviços online de empresas e instituições.;Falso;
INT131;Produtos e Serviços Diversos;Exclusivamente para os que não se encaixem nas categorias anteriores.;Falso;
MID000;Mídia;Trabalhos que demonstrem o uso criativo das características específicas da mídia utilizada e estratégias inovadoras implementadas pelos veículos de comunicação para que seus anunciantes atinjam com mais eficiência seus públicos alvo.;Verdadeiro;
MID100;Aproveitamento de Mídia;;Verdadeiro;
MID101;Aproveitamento do Meio Televisão;Trabalhos publicitários que apresentem soluções criativas e inovadoras de formato ou planejamento de veiculação em televisão.;Falso;
MID102;Aproveitamento do Meio Cinema;Trabalhos publicitários apresentem soluções criativas e inovadoras de formato ou planejamento de veiculação em cinema.;Falso;
MID103;Aproveitamento do Meio Rádio;Trabalhos publicitários que apresentem soluções criativas e inovadoras de formato ou planejamento de veiculação em rádio.;Falso;
MID104;Aproveitamento do Meio Jornal;Trabalhos publicitários que apresentem soluções criativas e inovadoras de formato ou planejamento de veiculação em jornal.;Falso;
MID105;Aproveitamento do Meio Revista;Trabalhos publicitários que apresentem soluções criativas e inovadoras de formato ou planejamento de veiculação em revista.;Falso;
MID106;Aproveitamento da Mídia Exterior;Trabalhos publicitários que apresentem soluções criativas e inovadoras de formato ou planejamento de veiculação em mídia exterior.;Falso;
MID107;Aproveitamento da Mídia Digital;Trabalhos publicitários que apresentem soluções criativas e inovadoras de formato ou planejamento de veiculação em mídias digitais baseadas em desktops ou notebooks;Falso;
MID108;Aproveitamento da Mídia Mobile;Trabalhos publicitários que apresentem soluções criativas e inovadoras de formato ou planejamento de veiculação em equipamentos mobile (celulares e tablets);Falso;
PRM000;Promo e Live;Peças ou estratégias de comunicação que gerem obrigatoriamente uma ação no receptor da mensagem, além da simples aquisição do produto ou serviço diretamente no ponto-de-venda.;Verdadeiro;
PRM100;Cases Promocionais e de Live Marketing;Projetos de média e longa duração, que envolvem diferentes ações e materiais, permitindo uma análise comparativa entre a situação anterior do mercado e os resultados obtidos.;Verdadeiro;
PRM101;Case de Produto de Consumo;Alimentos, Guloseimas, Bebidas Alcoólicas e Não-Alcoólicas, Medicamentos, Suplementos, Cosméticos, Produtos de Toalete, etc.;Falso;
PRM102;Case de Bens Duráveis;Bens de Capital e Produtos de Consumo de Uso Duradouro, como Automóveis, Mobiliário, Eletrodomésticos etc.;Falso;
PRM103;Case de Serviço;Financeiros, Telecomunicações, Médicos etc.;Falso;
PRM104;Case de Produto ou Serviço Técnico ou Profissional;Manutenção de Equipamentos, Softwares para Uso Profissional, Serviços de Entrega, etc.;Falso;
PRM105;Case de Produto ou Serviço Business-to-Business;Inclui Comércio, Indústria e Agropecuária;Falso;
PRM106;Case de Varejo;Obrigatoriamente assinado por empresa de varejo, como rede de lojas, supermercado, shopping etc.;Falso;
PRM107;Case de Produto Cultural ou de Lazer;Exposições, Filmes, Brinquedos, Eletrônicos, Mídia etc.;Falso;
PRM108;Case Institucional;Que reverta em benefício da marca da empresa ou de seus produtos.;Falso;
PRM109;Case Social ou Comunitário;Que, através do envolvimento do público alvo da marca, gere resultados em benefício da comunidade.;Falso;
PRM110;Case de Endomarketing e Incentivo;Que seja voltado para públicos internos ou intermediários ou estimule os usuários a participar de programa contínuo que vise ao atingimento de metas de venda, consumo ou comportamento pré-determinados.;Falso;
PRM111;Case de Fidelização e Pós-Venda;Que reuna ações e materiais que atinjam o público alvo após a venda com o objetivo de fortalecer o seu relacionamento com a marca.;Falso;
PRM112;Organização de Congressos, Seminários e Afins;Todo o conjunto de ações e materiais desenvolvidos para o lançamento, a comunicação e a realização de encontros voltados a reuniões de pessoas com afinidades temáticas ou profissionais para fins de trocas de informações.;Falso;
PRM113;Organização de Feiras e Exposições;Todo o conjunto de ações e materiais desenvolvidos para o lançamento, a comunicação e a realização de exibições de empresas com afinidades temáticas ou profissionais, para fins de promoção ou comercialização de seus produtos e serviços.;Falso;
PRM200;Eventos Promocionais e de Live Marketing;Projetos de curta duração que objetivem reunir o público-alvo em local e datas pré-determinados.;Verdadeiro;
PRM201;Evento Comercial;Que permita a venda local de produto, bem ou serviço.;Falso;
PRM202;Evento Comunitário;Que, através do envolvimento do público alvo da marca, gere resultados em benefício da comunidade.;Falso;
PRM203;Evento Cultural ou de Lazer;Que utilize formas de lazer ou atrativo cultural para atrair ou informar o público alvo.;Falso;
PRM204;Evento de Endomarketing ou Incentivo;Que seja voltado para públicos internos ou intermediários ou estimule os usuários a participar de programa contínuo que vise ao atingimento de metas de venda, consumo ou comportamento pré-determinados.;Falso;
PRM205;Evento de Inauguração;Que reúna o público alvo para a apresentação de novas instalações industriais, comerciais ou culturais.;Falso;
PRM206;Evento de Lançamento de Produto ou Serviço;Que reúna o público alvo para a apresentação de novos produtos ou linhas de produtos ou serviços.;Falso;
PRM207;Evento Esportivo;Que utilize atividades esportivas para atrair ou informar o público alvo.;Falso;
PRM208;Evento Institucional;Que vise exclusivamente a promover a imagem ou o relacionamento da marca junto ao público alvo.;Falso;
PRM209;Evento Relacionado a Data Comemorativa;Que utilize a oportunidadade de aniversários, dias santos e datas promocionais para atrair ou informar o público alvo.;Falso;
PRM210;Evento Social;Evento realizado por empresa ou profissional de marketing promocional, mas não necessariamente voltado para clientes corporativos.;Falso;
PRM211;Evento Técnico;Seminários, simpósios, workshops, convenções, treinamento etc.;Falso;
PRM212;Participação em Feira ou Exposição;Conjunto de atividades, estruturas e materiais desenvolvidos durante a participação da empresa em feira ou exposição.;Falso;
PRM300;Ações Promocionais e de Live Marketing;Projetos de curta duração ou abrangência restrita, normalmente realizados sem conhecimento prévio do público-alvo sobre seus locais e/ou datas.;Verdadeiro;
PRM301;Ação de Demonstração ou Amostragem em Ponto-de-Venda;Degustação, distribuição de amostras, folhetos ou demais materiais promocionais em local em que o produto possa ser adquirido pelo público alvo.;Falso;
PRM302;Ação de Demonstração ou Amostragem Externa;Degustação, distribuição de amostras, folhetos ou demais materiais promocionais em local em que não haja a venda do produto para o público alvo.;Falso;
PRM303;Ação para Bens Duráveis;Bens de capital e produtos de consumo de uso duradouro, como automóveis, mobiliário, eletrodomésticos etc.;Falso;
PRM304;Ação de Endomarketing ou Incentivo;Que seja voltada para públicos internos ou intermediários ou estimule os usuários a participar de programa contínuo que vise ao atingimento de metas de venda, consumo ou comportamento pré-determinados.;Falso;
PRM305;Ação Institucional;Que reverta em benefício da marca da empresa ou de seus produtos;Falso;
PRM306;Ação para Produto ou Serviço Business-to-Business;Inclui Comércio, Indústria e Agropecuária;Falso;
PRM307;Ação para Produto de Consumo;Alimentos, Guloseimas, Bebidas Alcoólicas e Não-Alcoólicas, Medicamentos, Suplementos, Cosméticos, Produtos de Toalete, etc.;Falso;
PRM308;Ação para Produto Cultural ou de Lazer;Exposições, Filmes, Brinquedos, Eletrônicos, Mídia etc.;Falso;
PRM309;Ação para Serviço;Financeiros, Telecomunicações, Médicos etc.;Falso;
PRM310;Ação para Produto ou Serviço Técnico ou Profissional;Manutenção de Equipamentos, Softwares para Uso Profissional, Serviços de Entrega, etc.;Falso;
PRM311;Ação Social ou Comunitária;Que, através do envolvimento do público alvo da marca, gere resultados em benefício da comunidade.;Falso;
PRM312;Ação para Varejo;Obrigatoriamente assinada por empresa de varejo, como rede de lojas, supermercado, shopping etc.;Falso;
PRM313;Ação em Rede Social;Que necessariamente utilize alguma rede social, como Facebook, Google+, etc. como plataforma de desenvolvimento e participação do público alvo.;Falso;
PRM400;Materiais Promocionais;Peças distribuidas gratuitamente para gerar conhecimento ou relacionamento da marca junto ao público alvo ou, no caso de peças de mídia, que obrigatoriamente sejam utilizadas para promover ou apoiar projetos de marketing promocional.;Verdadeiro;
PRM401;Brinde ou Peça Promocional dirigida a Públicos Internos ou Intermediários;Peça distribuida ao público interno ou intermediário do cliente com fins promocionais ou institucionais.;Falso;
PRM402;Brinde ou Peça Promocional dirigida ao Público Final;Peça distribuida ao público final do cliente com fins promocionais ou institucionais.;Falso;
PRM403;Brinde ou Peça Promocional relativa a Data Comemorativa;Natal, aniversário, dia santo, etc.;Falso;
PRM404;Peça Promocional Interativa;Que se utilize exclusivamente de mídia como websites, e-mails, CD-ROM ou celulares, como meio de interação com o público alvo.);Falso;
PRM405;Brinde ou Peça Promocional de Empresa de Comunicação;Agência de publicidade, empresa de promoções, produtora etc.;Falso;
PRM406;Personagem Promocional;Personagem ou família de personagens utilizados graficamente ou materializados em campanha, evento ou ação promocional.;Falso;
PRM407;Figurino Promocional;Figurino utilizado por receptivo, promotores, atores etc durante evento ou ação promocional.;Falso;
RAD000;Rádio;Jingles, spots e outros materiais produzidos para o meio radiofônico.;Verdadeiro;
RAD100;Mercado;Categorias em que também se levará em conta a adequação ao tipo de produto ou serviço anunciado.;Verdadeiro;
RAD101;Alimentos;Achocolatados, Balas, Biscoitos, Bombons, Caldos e Sopas, Carnes, Cereais, Chocolates, Condimentos, Confeitos, Enlatados, Frios, Frutas, Iogurtes Cremosos ou Líquidos, Guloseimas, Leite e Derivados, Manteigas, Margarinas e Assemelhados, Massas, Misturas ou Produtos Pré e Semipreparados, Molhos, Pães e Bolos, Rações para Animais Domésticos, Salgados, Sobremesas, Sorvetes;Falso;
RAD102;Bebidas Alcoólicas;Aguardentes, Aperitivos, Cervejas, Chopp, Destilados, Licores, Vinhos.;Falso;
RAD103;Bebidas Não-Alcoólicas;Águas Minerais, Café, Chá, Coolers, Energéticos, Isotônicos, Mate, Refrescos em Pó, Refrigerantes, Sucos Naturais e Artificiais.;Falso;
RAD104;Cigarros e Tabaco;Cachimbos, Charutos, Cigarrilhas, Cigarros, Fumo em Geral, Papel para Enrolar Fumo.;Falso;
RAD105;Cosméticos e Produtos De Toalete;Absorventes, Antiperspirantes e Desodorantes, Aparelhos e Lâminas de Barbear, Bronzeadores ou Protetores Solares, Cotonetes, Cremes e Fios Dentais, Escovas e Pentes em Geral, Fraldas, Papéis Sanitários, Sabonetes e outros Produtos para o Banho, Perfumes e Essências, Produtos de Maquiagem em Geral, Tinturas.;Falso;
RAD106;Cultura e Educação;Colégios, Cursos em Geral, Exposições, Fascículos, Festivais, Filmes, Filmes em Vídeo, Gravações Musicais em Disco, Cassete ou CD, Livros, Operas, Peças Teatrais, Shows Musicais, Universidades.;Falso;
RAD107;Eletrodomésticos;Aspiradores de Pó, Batedeiras, Cafeteiras, Chuveiros Elétricos e Duchas Elétricas, Enceradeiras, Espremedores, Fogões, Fornos, Freezers, Fritadeiras, Geladeiras, Lava-Louças, Lava-Pratos, Liqüidificadores, Máquinas de Costura, Multiprocessadores, Secadoras, Torradeiras, Ventiladores.;Falso;
RAD108;Imobiliário;Administradoras de Imóveis, Locação e Vendas (de Apartamentos, Apart-Hotéis, Casas, Centros Comerciais e Shopping Centers, Condomínios, Escritórios, Fazendas, Lojas, Lotes e Terrenos).;Falso;
RAD109;Institucional Ou Corporativo;Trabalhos para qualquer tipo de anunciante, mas que não tenham nenhuma referência específica a determinado produto ou serviço e sim à imagem da empresa ou corporação como um todo.;Falso;
RAD110;Meios De Comunicação;Emissoras de Rádio, Emissoras de Televisão, Jornais, Revistas, Sites ou Portais de Notícias.;Falso;
RAD111;Mercado Publicitário;Agências de Propaganda, Agências de Promoções, Agências de Web-Design, Produtoras de Áudio, Foto e Vídeo.;Falso;
RAD112;Móveis, Decoração e Utensílios Domésticos;Acendedores, Apetrechos de Cozinha e de Bar, Artigos de Cama, Mesa e Banho, Artesanatos, Aquecedores a Gás, Copos e Cristais, Cozinhas, Cutelaria e Talheres, Equipamentos de Segurança e Comunicação Interna, Ferragens, Lâmpadas e Luminárias, Louças e Baixelas, Materiais de Construção, Materiais Sanitários, Panelas em Geral, Papéis de Parede, Persianas e Toldos, Pisos e Revestimentos, Tapetes e Carpetes, Tubos e Conexões.;Falso;
RAD113;Política e Eleições;Associações de Classe, Cargos Públicos e Privados, Partidos Políticos.;Falso;
RAD114;Produtos e Serviços Para Agropecuária;Adubos, Defensivos, Implementos, Inseticidas, Máquinas, Produtos Veterinários, Rações Animais, Sementes e Tratores.;Falso;
RAD115;Produtos e Serviços Automotivos;Aditivos, Acessórios e Peças, Carrocerias, Combustíveis, Lubrificantes, Oficinas Mecânicas e de Lanternagem, Pneus, Postos de Serviços, Recauchutagem, Sistemas de Segurança.;Falso;
RAD116;Produtos e Serviços Para Comércio e Escritório;Arquivos, Computadores, Copiadoras, Empresas Gráficas, Empresas de Limpeza, Empresas de Vale-Refeição e Assemelhados, Fax, Impressoras, Listas Telefônicas, Máquinas de Escrever, Máquinas de Calcular, Material de Escrita, Desenho e Papelaria, Móveis Profissionais, Serviços de Entrega, Serviços e Equipamentos de Manutenção e Segurança, Software e Suprimentos de Informática.;Falso;
RAD117;Produtos e Serviços Comunitários;Defesa da Ecologia, Campanhas Educativas de Qualquer Natureza (Trânsito, Eleição, Antidrogas etc), Entidades Filantrópicas e Beneméritas, Igrejas e Cultos, Serviços Assistenciais Públicos e Privados.;Falso;
RAD118;Produtos e Serviços Para A Indústria;Bens, Consultorias, Instalações, Insumos, Maquinarias, Pesquisas de Mercado, Serviços de Carga.;Falso;
RAD119;Produtos e Serviços De Lazer e Recreação;Aparelhagens de Áudio e de Vídeo, Aparelhagens de Ginástica ou Esportivas, Baralhos, Bicicletas, Binóculos e Lunetas, Brinquedos em Geral, Equipamento e Material Fotográfico, Fliperamas, Instrumentos Musicais, Jet-Skys, Jogos em Geral, Lanchas, Locadoras de Vídeo e Videogames, Loterias, Computadores e Tablets Pessoais, Modelismo, Projetores, Serviços de Revelação Fotográfica, Trailers, Videocâmeras, Videogravadores, Videogames e Cartuchos.;Falso;
RAD120;Produtos e Serviços De Limpeza e Manutenção Do Lar;Adesivos, Abrasivos, Amaciantes de Roupas, Assistências Técnicas e Serviços de Consertos, Ceras, Detergentes Líquidos e em Pó, Esponjas de Limpeza e Assemelhados, Equipamentos de Jardinagem, Equipamentos para Piscinas, Furadeiras, Gás Engarrafado, Inseticidas e Repelentes, Limpadores Concentrados e Multiuso, Lixeiras e Sacos para Lixo, Papéis Laminados, Papéis-Toalha, Pilhas, Sabões em Barra e Assemelhados, Solventes, Tintas, Vassouras, Velas.;Falso;
RAD121;Produtos e Serviços Médicos, Farmacêuticos e De Saúde;Academias de Ginástica, Ambulâncias e Serviços de Remoção, Adoçantes Artificiais, Analgésicos, Clínicas e Hospitais, Compostos Vitamínicos, Institutos de Beleza, Lentes de Contato e para Óculos, Medicamentos em Geral, Produtos Dietéticos ou Emagrecedores, Produtos para Curativos e Enfermagem (Esparadrapos etc.), Produtos Éticos, Spas, Tratamentos Capilares, Veterinárias.;Falso;
RAD122;Produtos e Serviços Públicos;Água e Esgotos, Cemitérios, Comunicações de Governo e Órgãos Públicos em Geral, Correios, Gás Encanado, Impostos, Luz, Obras Públicas, Paramédicos, Saúde Pública, Transportes Públicos, Segurança Pública.;Falso;
RAD123;Produtos e Serviços de Telecomunicações;Serviços de Telefonia Pública ou Privada, Local ou Interurbano, Sistemas e Equipamentos de Telefonia (inclusive Telefone Celular, ISDN, ADSL etc.) e Serviços de Atendimento Telefônico, Provedores de Acesso à Internet, Televisão a Cabo, Televisão por Satélite, Televisão por Assinatura.;Falso;
RAD124;Serviços Financeiros e De Seguros;Bancos, Bolsas de Valores, Câmbio e Cheques de Viagens, Capitalização, Cartões de Crédito, Consórcios, Corretoras e Distribuidoras de Valores, Empresas de Crédito e Poupança, Financeiras, Fundos e Investimentos, Seguros em Geral, Seguros de Saúde.;Falso;
RAD125;Turismo, Transportes e Diversões Públicas;Agências de Viagens, Campings, Casas Noturnas, Cassinos, Complexos e Destinos Turísticos, Empresas Aéreas e de Navegação, Feiras, Hotéis e Assemelhados, Jardins Botânicos, Jardins Zoológicos e Assemelhados, Parques Aquáticos, Parques de Diversões, Planetários, Serviços de Locação de Automóveis, Transportes Urbanos e Rodoviários.;Falso;
RAD126;Varejo De Grande Porte;Lojas de Departamento, Redes de Mais de 15 lojas de Qualquer Setor, Shopping Centers, Supermercados e sites de e-comércio de empresas que se enquadrem nesta categoria.;Falso;
RAD127;Varejo De Pequeno e Médio Porte;Armarinhos, Bares, Bazares, Butiques, Delicatessen, Farmácias e Drogarias, Lanchonetes e Fast food, Lojas de Conveniência, Óticas, Padarias e Confeitarias, Redes de Até 15 lojas de Qualquer Setor, Revendas e Concessionárias de Veículos, Restaurantes, Outras Lojas Especializadas, Sites de Leilões e sites de e-comercio de empresas que se enquadrem nesta categoria.;Falso;
RAD128;Veículos Pessoais e Profissionais;Automóveis de Passeio, Aviões, Caminhões, Furgões, Motos, Navios, Ônibus, Utilitários. Atenção: exclusivamente comunicação de marca.;Falso;
RAD129;Vestuário e Acessórios Pessoais;Adereços, Aviamentos, Armações de Óculos, Artigos de Couro, Bolsas e Malas, Calçados e Assemelhados, Jóias, Lãs e Linhas, Lingerie e Roupas Intimas, Relógios e Canetas Especiais, Roupas e Materiais Esportivos, Roupas Infantis, Femininas e Masculinas, Tecidos.;Falso;
RAD130;Websites, Portais e Serviços Online;Trabalhos voltados para a divulgação de sites na Internet. Atenção que a categoria não é para inscrição de Websites, mas de peças e campanhas que promovam websites, portais e serviços online de empresas e instituições.;Falso;
RAD131;Produtos e Serviços Diversos;Exclusivamente para os que não se encaixem nas categorias anteriores.;Falso;
RAD200;Apresentações Especiais;Categorias julgadas levando em conta seus formatos ou utilizações, independentemente do mercado do cliente.;Verdadeiro;
RAD201;Oportunidade;Trabalhos que denotem claramente terem sido criados aproveitando uma oportunidade inesperada (uma notícia, um acontecimento imprevisto etc.). Aqui também são válidos apenas trabalhos veiculados.;Falso;
RAD202;Datas Promocionais;Trabalhos publicitários referentes a datas como Natal, Dia das Mães, Dia dos Pais, Dia dos Namorados, Dia da Criança e Páscoa;Falso;
RAD203;Datas Institucionais;Trabalhos publicitários referentes a datas como aniversários, dias santos, dias comemorativos de profissionais etc.Diferenciam-se das Peças de Oportunidade porque podem ter sido criadas com antecedência.;Falso;
RAD204;Aproveitamento de Patrocínio;Trabalhos publicitários que aproveitem o fato de a empresa anunciante também estar patrocinando um evento ou ação de qualquer natureza..;Falso;
RAD205;Apoio a Promoção de Produto;Peça eletrônica veiculada em rádio para apoiar case ou ação promocional de produto, como sorteio, trocas, coleções e similares. Não se aplica a mera promoção de preços ou descontos.;Falso;
RAD206;Apoio a Promoção de Serviço;Peça eletrônica veiculada em rádio para apoiar case ou ação promocional de serviço, como sorteio, trocas, coleções e similares. Não se aplica a mera promoção de preços ou descontos..;Falso;
RPB000;RP;Trabalhos que demonstrem o uso criativo e inovador das técnicas de Relações Públicas, com o objetivo de implementar ou incrementar o entendimento entre organizações e marcas e seus públicos.;Verdadeiro;
RPB101;Ações Comunitárias e Não Lucrativas;Trabalhos conduzidos em nome de instituições de caridade e/ou organizações filantrópicas ou de conscientização de saúde, segurança, higiente, social etc.;Falso;
RPB102;Arte e Entretenimento;Trabalhos destinados a promover ou gerar o conhecimento de iniciativas artísticas ou de entretenimento.;Falso;
RPB103;Gerenciamento de Crise;Trabalhos desenvolvidos para lidar com situações não esperadas ou que exijam resposta imediata.;Falso;
RPB104;Marketing - Business to Business;Trabalhos destinados lançar ou promover produtos e serviços voltados para um público de negócios.;Falso;
RPB105;Público Interno;Trabalhos realizados para informar ou educar uma audiência interna, tais como funcionários ou colaboradores.;Falso;
RPB106;Relacionamento com Comunidade;Trabalhos direcionados a ampliar o relacionamento com comunidades nas quais a organização tenha interesse ou necessidade.;Falso;
RPB107;Relacionamento com Investidores;Trabalhos destinados a gerenciar e/ou transmitir informações aos investidores atuais e/ou potenciais de uma empresa.;Falso;
RPB108;Reputação;Trabalhos destinados a promover ou incrementar a reputação de uma organização junto a seus públicos.;Falso;
RPB109;Políticas Públicas;Trabalhos concebidos especificamente para influenciar autoridades, legisladores, órgãos públicos ou candidaturas.;Falso;
RPB110;Serviço Público;Trabalhos que promovam a compreensão do público sobre questões, problemas ou preocupações sociais.;Falso;
RPB111;Sustentabilidade e Ambiente;Trabalhos projetados para abordar questões verdes ou ambientais.;Falso;
TEC000;Técnica;Para a análise da qualidade de aspectos técnicos específicos da produção das peças de comunicação de marketing.;Verdadeiro;
TEC100;Filme ou Vídeo;Trabalhos produzidos com objetivo comercial, social ou institucional para exibição em qualquer suporte (televisão, cinema, internet, smartphones, tablets etc.);Verdadeiro;
TEC101;Roteiro de Filme ou Vídeo;Para julgamento da narrativa (diálogos e sequência de cenas) utilizada para transmitir a mensagem do cliente do trabalho.;Falso;
TEC102;Direção de Arte de Filme ou Vídeo;Para o julgamento da concepção visual (cenografia, figurinos e maquiagem) utilizada para transmitir a mensagem do cliente do trabalho.;Falso;
TEC103;Direção de Filme ou Vídeo;Para o julgamento do direcionamento dado ao conjunto das opções cinematográficas utilizadas para transmitir a mensagem do cliente do trabalho.;Falso;
TEC104;Produção de Filme ou Vídeo;Para o julgamento da eficácia das soluções encontradas para a viabilização do trabalho, segundo a sua complexidade técnica (locações, cenotécnica, figurinos, casting etc.);Falso;
TEC105;Fotografia de Filme ou Vídeo;Para o julgamento da concepção gráfica na captação das imagens, de forma a transmitir, com mais eficiência artística e emocional a mensagem do cliente no trabalho.;Falso;
TEC106;Edição de Filme ou Vídeo;Para o julgamento de como o sequenciamento de cenas colaborou de forma mais eficiente para transmitir a mensagem do cliente no trabalho.;Falso;
TEC107;Efeitos Visuais de Filme ou Vídeo;Para o julgamento de como a manipulação das imagens captadas colaboraram para a transmissão informativa e emocional da mensagem do cliente no trabalho.;Falso;
TEC108;Animação em Filme ou Vídeo;Para o julgamento das produções que não tenham utilizado captação direta das imagens e sim técnicas de animação quadro-a-quadro (stop motion, desenho, computação gráfica etc.);Falso;
TEC200;Áudio;Trabalhos produzidos com objetivo comercial, social ou institucional para execução em qualquer suporte (rádio, internet, carro de som, sistema de som de eventos etc.);Verdadeiro;
TEC201;Roteiro de Fonograma;Para julgamento da narrativa (diálogos e sequência de efeitos sonoros) utilizada para transmitir a mensagem do cliente do trabalho.;Falso;
TEC202;Música ou Trilha de Fonograma;Para o julgamento de como a concepção sonora (melodia, arranjo, efeitos sonoros etc.) ajudou a transmitir o conteúdo informativo e emocional da mensagem do cliente no trabalho.;Falso;
TEC203;Música ou Trilha de Filme ou Vídeo;Para o julgamento de como a concepção sonora ajudou a transmitir o conteúdo informativo e emocional da mensagem do cliente no trabalho.;Falso;
TEC204;Texto ou Letra de Fonograma;Para o julgamento específico do texto ou da letra do jingle redigidos para transmitir o conteúdo informativo e emocional da mensagem do cliente.;Falso;
